Rk,Player,Pos,Tm,Cap Hit,year
358.0,Harry Douglas,WR,TEN,"$2,733,333",2016
359.0,Andre Branch,DE,MIA,"$2,703,125",2016
360.0,Steven Hauschka,K,SEA,"$2,700,000",2016
,Pat McAfee,K,IND,"$2,700,000",2016
,Brett Kern,P,TEN,"$2,700,000",2016
,Chris Baker,DT,WAS,"$2,700,000",2016
,Tramaine Brock,DB,SFO,"$2,700,000",2016
,Matthew Bosher,K,ATL,"$2,700,000",2016
366.0,Jonathan Babineaux,DE-DT,ATL,"$2,666,668",2016
367.0,Danny Shelton,DT,CLE,"$2,659,924",2016
368.0,Tyler Eifert,TE,CIN,"$2,626,909",2016
369.0,Akeem Dent,LB,HOU,"$2,625,000",2016
370.0,Chris Chester,G,ATL,"$2,600,000",2016
371.0,Desmond Trufant,CB,ATL,"$2,598,303",2016
372.0,Ryan Shazier,OLB,PIT,"$2,592,876",2016
373.0,Dan Carpenter,K,BUF,"$2,587,500",2016
374.0,Jacob Tamme,TE,ATL,"$2,584,375",2016
375.0,Isa Abdul-Quddus,S,MIA,"$2,583,333",2016
376.0,Ed Dickson,TE,CAR,"$2,566,666",2016
377.0,DeAngelo Williams,RB,PIT,"$2,565,000",2016
378.0,Charles Johnson,DE,CAR,"$2,562,500",2016
,Gary Barnidge,TE,CLE,"$2,562,500",2016
380.0,Ryan Schraeder,T,ATL,"$2,553,000",2016
,Paul Worrilow,LB,ATL,"$2,553,000",2016
,Jahleel Addae,S,SDG,"$2,553,000",2016
,Abry Jones,DT,JAX,"$2,553,000",2016
,Bradley McDougald,FS,TAM,"$2,553,000",2016
,Mike Remmers,T,CAR,"$2,553,000",2016
,Kamar Aiken,WR,BAL,"$2,553,000",2016
,Matt McGloin,QB,OAK,"$2,553,000",2016
,Ronald Leary,G,DAL,"$2,553,000",2016
389.0,Joe Hawley,G,TAM,"$2,500,000",2016
,Evan Dietrich-Smith,G,TAM,"$2,500,000",2016
,Leodis McKelvin,DB,PHI,"$2,500,000",2016
,Emmanuel Sanders,WR,DEN,"$2,500,000",2016
,Tony Bergstrom,OT,HOU,"$2,500,000",2016
,Malcolm Jenkins,DB,PHI,"$2,500,000",2016
,Julian Edelman,WR,NWE,"$2,500,000",2016
,Andre Smith,T,MIN,"$2,500,000",2016
,Dan Bailey,K,DAL,"$2,500,000",2016
,Rashad Johnson,DB,TEN,"$2,500,000",2016
399.0,William Gay,DB,PIT,"$2,483,333",2016
400.0,Jonathan Casillas,LB,NYG,"$2,475,000",2016
401.0,DeVante Parker,WR,MIA,"$2,471,942",2016
402.0,Sean Spence,LB,TEN,"$2,468,750",2016
,Al Woods,DT,TEN,"$2,468,750",2016
404.0,Ryan Succop,K,TEN,"$2,466,666",2016
405.0,Datone Jones,DE,GNB,"$2,455,280",2016
406.0,Johnny Hekker,P,LAR,"$2,444,444",2016
407.0,Ladarius Green,TE,PIT,"$2,437,500",2016
,Brandon LaFell,WR,CIN,"$2,437,500",2016
409.0,DeAndre Hopkins,WR,HOU,"$2,426,678",2016
410.0,Melvin Gordon,RB,SDG,"$2,424,948",2016
411.0,Ramon Foster,T,PIT,"$2,416,666",2016
412.0,Sylvester Williams,DT,DEN,"$2,412,375",2016
413.0,Victor Cruz,WR,NYG,"$2,400,000",2016
,Mohamed Sanu,WR,ATL,"$2,400,000",2016
,Mitchell Schwartz,T,KAN,"$2,400,000",2016
,Mason Crosby,K,GNB,"$2,400,000",2016
417.0,C.J. Mosley,ILB,BAL,"$2,396,728",2016
418.0,Ben Jones,C,TEN,"$2,375,000",2016
419.0,Cole Beasley,WR,DAL,"$2,356,000",2016
420.0,Greg Robinson,OT,LAR,"$2,354,918",2016
421.0,Chad Greenway,LB,MIN,"$2,300,000",2016
