Rk,Player,Pos,Tm,City,Cap Hit,year
,Sergio Brown,,JAX,Jacksonville,2500000,2015
,Darius Butler,,IND,Indianapolis,2500000,2015
,Danny Woodhead,,SDG,San Diego,2500000,2015
,Dan Bailey,,DAL,Dallas,2500000,2015
,Josh Scobee,,PIT,Pittsburgh,2500000,2015
,Demar Dotson,,TAM,Tampa,2500000,2015
439,David DeCastro,,PIT,Pittsburgh,2486240,2015
440,Letroy Guion,,GNB,Green Bay,2485294,2015
441,Dont'a Hightower,,NWE,New England,2457637,2015
442,Terence Newman,,MIN,Minnesota,2453125,2015
,Cecil Shorts,,HOU,Houston,2453125,2015
444,Robert Ayers,,NYG,NY Giants,2437500,2015
445,Ted Larsen,,ARI,Arizona,2435000,2015
446,Sheldon Richardson,,NYJ,NY Jets,2431647,2015
447,EJ Manuel,,BUF,Buffalo,2423264,2015
448,Michael Oher,,CAR,Carolina,2421875,2015
449,Will Hill,,BAL,Baltimore,2416045,2015
450,Reggie Bush,,SFO,San Francisco,2406250,2015
451,Kevin Zeitler,,CIN,Cincinnati,2400427,2015
452,Sam Koch,,BAL,Baltimore,2400000,2015
,Ryan Wendell,,NWE,New England,2400000,2015
,Ben Grubbs,,KAN,Kansas City,2400000,2015
,Brandon Browner,,NOR,New Orleans,2400000,2015
456,Eugene Sims,,STL,St. Louis,2391686,2015
457,Nick Perry,,GNB,Green Bay,2386125,2015
458,James Carpenter,,NYJ,NY Jets,2375000,2015
459,Jarvis Jones,,PIT,Pittsburgh,2374228,2015
460,Johnny Hekker,,STL,St. Louis,2373773,2015
461,Odell Beckham,,NYG,NY Giants,2365045,2015
462,Mark Barron,,STL,St. Louis,2362704,2015
463,Dan Carpenter,,BUF,Buffalo,2362500,2015
464,Derrick Shelby,,MIA,Miami,2356000,2015
,Rodney McLeod,,STL,St. Louis,2356000,2015
,Cedric Thornton,,PHI,Philadelphia,2356000,2015
,Rod Streater,,OAK,Oakland,2356000,2015
,Damon Harrison,,NYJ,NY Jets,2356000,2015
,T.J. McDonald,,STL,St. Louis,2356000,2015
,Jerrell Freeman,,IND,Indianapolis,2356000,2015
,Emmanuel Lamur,,CIN,Cincinnati,2356000,2015
,Justin Tucker,,BAL,Baltimore,2356000,2015
,Tashaun Gipson,,CLE,Cleveland,2356000,2015
,Craig Robertson,,CLE,Cleveland,2356000,2015
,Jermaine Kearse,,SEA,Seattle,2356000,2015
476,Trae Waynes,,MIN,Minnesota,2353520,2015
477,Britton Colquitt,,DEN,Denver,2350000,2015
478,Glenn Dorsey,,SFO,San Francisco,2341666,2015
479,Eric Reid,,SFO,San Francisco,2312931,2015
480,Aaron Donald,,STL,St. Louis,2303750,2015
481,Tom Johnson,,MIN,Minnesota,2300000,2015
482,Harry Douglas,,TEN,Tennessee,2283333,2015
483,Justin Pugh,,NYG,NY Giants,2276154,2015
484,Harrison Smith,,MIN,Minnesota,2271355,2015
485,Craig Stevens,,TEN,Tennessee,2270000,2015
486,Kyle Long,,CHI,Chicago,2263896,2015
487,Tyler Eifert,,CIN,Cincinnati,2251637,2015
488,Jonathan Babineaux,,ATL,Atlanta,2250000,2015
,Scott Chandler,,NWE,New England,2250000,2015
,Jimmy Wilson,,SDG,San Diego,2250000,2015
,Brian Hartline,,CLE,Cleveland,2250000,2015
,Tyson Jackson,,ATL,Atlanta,2250000,2015
,Jeremy Mincey,,DAL,Dallas,2250000,2015
,Calvin Pace,,NYJ,NY Jets,2250000,2015
495,Blair Walsh,,MIN,Minnesota,2239483,2015
496,Rashad Johnson,,ARI,Arizona,2233334,2015
497,Miles Austin,,PHI,Philadelphia,2225000,2015
498,Sharrif Floyd,,MIN,Minnesota,2202600,2015
499,Kyle Fuller,,CHI,Chicago,2201591,2015
500,Roddy White,,ATL,Atlanta,2200000,2015
